script,action,command
quality:m3-human-pilot,ARCHIVE,node scripts/quality/run-m3-human-pilot.mjs
quality:m3-scaffold-gate,ARCHIVE,node scripts/quality/validate-m3-scaffold-gate.mjs
quality:m3-signoff,ARCHIVE,node scripts/quality/verify-m3-signoff.mjs
quality:m3-visual-pass,ARCHIVE,node scripts/quality/capture-m3-visual-pass.mjs
quality:medrepo-consumption-gate,MOVE_TO_TOOLS,node scripts/quality/validate-medrepo-consumption-gate.mjs
quality:microphase-next,MOVE_TO_TOOLS,node scripts/quality/microphase-next.mjs
quality:microphases,MOVE_TO_TOOLS,node scripts/quality/validate-microphase-ledger.mjs
quality:mode-guards-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-guards-gate.mjs
quality:mode-safety-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-safety-gate.mjs
quality:mode-switcher-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-switcher-gate.mjs
quality:mode-transitions-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-transitions-gate.mjs
quality:nightly,KEEP_ROOT,node tools/gates/run-gate.mjs nightly
quality:ola1c-imaging-gate,ARCHIVE,node scripts/quality/validate-ola1c-imaging-gate.mjs
quality:ola1c-journey-gate,ARCHIVE,node scripts/quality/validate-ola1c-journey-gate.mjs
quality:ola2-m3-ui-gate,ARCHIVE,node scripts/quality/validate-ola2-m3-ui-gate.mjs
quality:ola2-physical-exam-gate,ARCHIVE,node scripts/quality/validate-ola2-physical-exam-gate.mjs
quality:ola3-alerts-gate,ARCHIVE,node scripts/quality/validate-ola3-alerts-gate.mjs
quality:ola3-ficha-depth-gate,ARCHIVE,node scripts/quality/validate-ola3-ficha-depth-gate.mjs
quality:ola3-ficha-gate,ARCHIVE,node scripts/quality/validate-ola3-ficha-gate.mjs
quality:ola3-ficha-hub-gate,ARCHIVE,node scripts/quality/validate-ola3-ficha-hub-gate.mjs
quality:ola3-longitudinal-gate,ARCHIVE,node scripts/quality/validate-ola3-longitudinal-gate.mjs
quality:ola3-surgical-gate,ARCHIVE,node scripts/quality/validate-ola3-surgical-gate.mjs
quality:ola3-timeline-gate,ARCHIVE,node scripts/quality/validate-ola3-timeline-gate.mjs
quality:ola6a-print-gate,ARCHIVE,node scripts/quality/validate-ola6a-print-gate.mjs
quality:ollama-structured-output-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ollama-structured-output-gate.mjs
quality:openapi-gate,MOVE_TO_TOOLS,node scripts/quality/validate-openapi-gate.mjs
quality:openclaw-cycle-gate,MOVE_TO_TOOLS,node scripts/quality/validate-openclaw-cycle-gate.mjs
quality:openclaw-gate,MOVE_TO_TOOLS,node scripts/quality/validate-openclaw-gate.mjs
quality:paper-chart-section-tree-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-chart-section-tree-gate.mjs
quality:paper-mode-ai-commands-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-ai-commands-gate.mjs
quality:paper-mode-ai-meta-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-ai-meta-gate.mjs
quality:paper-mode-doc-bridge-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-doc-bridge-gate.mjs
quality:paper-mode-fichapapel-reference-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-fichapapel-reference-gate.mjs
quality:paper-mode-fields-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-fields-gate.mjs
quality:paper-mode-nav-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-nav-gate.mjs
quality:paper-mode-next,MOVE_TO_TOOLS,node scripts/quality/paper-mode-next.mjs
quality:paper-mode-pagination-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-pagination-gate.mjs
quality:paper-mode-signoff-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-signoff-gate.mjs
quality:paper-mode-tokens-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-tokens-gate.mjs
quality:paper-mode-toolbar-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-toolbar-gate.mjs
quality:paper-planner-ai-gate,ARCHIVE,node scripts/quality/validate-paper-planner-ai-gate.mjs
quality:paper-planner-gates,ARCHIVE,npm run quality:paper-planner-scaffold-gate && npm run quality:paper-planner-week-gate && npm run quality:paper-planner-month-gate && npm run quality:paper-planner-print-gate && npm run quality:paper-planner-ai-gate
quality:paper-planner-month-gate,ARCHIVE,node scripts/quality/validate-paper-planner-month-gate.mjs
quality:paper-planner-print-gate,ARCHIVE,node scripts/quality/validate-paper-planner-print-gate.mjs
quality:paper-planner-scaffold-gate,ARCHIVE,node scripts/quality/validate-paper-planner-scaffold-gate.mjs
quality:paper-planner-week-gate,ARCHIVE,node scripts/quality/validate-paper-planner-week-gate.mjs
quality:pilot-trial,MOVE_TO_TOOLS,node scripts/quality/run-pilot-trial.mjs
quality:pm01,ARCHIVE,npm run quality:three-modes-gate && npm run quality:classic-md3-mode-gate && npm run quality:dashboard-md3-mode-gate && npm run quality:mode-transitions-gate && npm run quality:mode-guards-gate && npm run quality:mode-safety-gate
quality:pm03-orchestration-gate,ARCHIVE,node scripts/quality/validate-pm03-orchestration-gate.mjs
quality:quality-aliases-gate,MOVE_TO_TOOLS,node scripts/quality/validate-quality-aliases-gate.mjs
quality:rad-m3-discipline-gate,MOVE_TO_TOOLS,node scripts/quality/validate-rad-m3-discipline-gate.mjs
quality:rag-retrieval-gate,MOVE_TO_TOOLS,node scripts/quality/validate-rag-retrieval-gate.mjs
quality:rapid-gate,MOVE_TO_TOOLS,node scripts/quality/validate-rapid-gate.mjs
quality:registry-gate,MOVE_TO_TOOLS,node scripts/quality/validate-registry-gate.mjs
quality:registry-meta-gate,MOVE_TO_TOOLS,node scripts/quality/validate-registry-meta-gate.mjs
quality:registry-status,MOVE_TO_TOOLS,node scripts/quality/registry-status.mjs
quality:required,KEEP_ROOT,node tools/gates/run-gate.mjs required
quality:role-care-separation-gate,MOVE_TO_TOOLS,node scripts/quality/validate-role-care-separation-gate.mjs
quality:scroll-discipline-gate,MOVE_TO_TOOLS,node scripts/quality/validate-scroll-discipline-gate.mjs
quality:sh-02-intent-evals-gate,MOVE_TO_TOOLS,node scripts/quality/validate-sh-02-intent-evals-gate.mjs
quality:sh-03-degrade-gate,MOVE_TO_TOOLS,node scripts/quality/validate-sh-03-degrade-gate.mjs
quality:sh-05-rls-gate,MOVE_TO_TOOLS,node scripts/quality/validate-sh-05-rls-gate.mjs
quality:sh-06-migration-gate,MOVE_TO_TOOLS,node scripts/quality/validate-sh-06-migration-gate.mjs
quality:spellcheck-gate,MOVE_TO_TOOLS,node scripts/quality/validate-spellcheck-gate.mjs
quality:split-pane-gate,MOVE_TO_TOOLS,node scripts/quality/validate-split-pane-gate.mjs
quality:stack-dev-gate,MOVE_TO_TOOLS,node scripts/quality/validate-stack-dev-gate.mjs
quality:strengthen-close-gate,MOVE_TO_TOOLS,node scripts/quality/validate-strengthen-close-gate.mjs
quality:strengthen-next,MOVE_TO_TOOLS,node scripts/quality/strengthen-next.mjs
quality:te-02-sections-gate,ARCHIVE,node scripts/quality/validate-te-02-sections-gate.mjs
quality:te-04-sections-gate,ARCHIVE,node scripts/quality/validate-te-04-sections-gate.mjs
quality:te-06-supporting-pane-gate,ARCHIVE,node scripts/quality/validate-te-06-supporting-pane-gate.mjs
quality:te-07-tabular-gate,ARCHIVE,node scripts/quality/validate-te-07-tabular-gate.mjs
quality:te-08-signoff-gate,ARCHIVE,node scripts/quality/validate-te-08-signoff-gate.mjs
quality:three-modes-design-agents-gate,ARCHIVE,node scripts/quality/validate-three-modes-design-agents-gate.mjs
quality:three-modes-gate,ARCHIVE,node scripts/quality/validate-three-modes-gate.mjs
quality:tramo-a-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-a-closure-gate.mjs
quality:tramo-b-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-b-closure-gate.mjs
quality:tramo-b-reception-gate,ARCHIVE,node scripts/quality/validate-tramo-b-reception-gate.mjs
quality:tramo-b-ui-gate,ARCHIVE,node scripts/quality/validate-tramo-b-ui-gate.mjs
quality:tramo-c-admission-gate,ARCHIVE,node scripts/quality/validate-tramo-c-admission-gate.mjs
quality:tramo-c-census-gate,ARCHIVE,node scripts/quality/validate-tramo-c-census-gate.mjs
quality:tramo-c-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-c-closure-gate.mjs
quality:tramo-c-emergency-gate,ARCHIVE,node scripts/quality/validate-tramo-c-emergency-gate.mjs
quality:tramo-c-epicrisis-gate,ARCHIVE,node scripts/quality/validate-tramo-c-epicrisis-gate.mjs
quality:tramo-c-mar-gate,ARCHIVE,node scripts/quality/validate-tramo-c-mar-gate.mjs
quality:tramo-c-orders-gate,ARCHIVE,node scripts/quality/validate-tramo-c-orders-gate.mjs
quality:tramo-c-trends-gate,ARCHIVE,node scripts/quality/validate-tramo-c-trends-gate.mjs
quality:tramo-closure-evals-gate,ARCHIVE,node scripts/quality/validate-tramo-closure-evals-gate.mjs
quality:tramo-d-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-d-closure-gate.mjs
quality:tramo-d-flowsheet-gate,ARCHIVE,node scripts/quality/validate-tramo-d-flowsheet-gate.mjs
quality:tramo-d-fluid-balance-gate,ARCHIVE,node scripts/quality/validate-tramo-d-fluid-balance-gate.mjs
quality:tramo-d-hemodynamics-gate,ARCHIVE,node scripts/quality/validate-tramo-d-hemodynamics-gate.mjs
quality:tramo-d-icu-discharge-gate,ARCHIVE,node scripts/quality/validate-tramo-d-icu-discharge-gate.mjs
quality:tramo-d-icu-gate,ARCHIVE,node scripts/quality/validate-tramo-d-icu-gate.mjs
quality:tramo-d-invasive-gate,ARCHIVE,node scripts/quality/validate-tramo-d-invasive-gate.mjs
quality:tramo-d-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-d-inventory-gate.mjs
quality:tramo-d-neurological-gate,ARCHIVE,node scripts/quality/validate-tramo-d-neurological-gate.mjs
quality:tramo-d-sedoanalgesia-gate,ARCHIVE,node scripts/quality/validate-tramo-d-sedoanalgesia-gate.mjs
quality:tramo-d-severity-scales-gate,ARCHIVE,node scripts/quality/validate-tramo-d-severity-scales-gate.mjs
quality:tramo-d-vasoactive-gate,ARCHIVE,node scripts/quality/validate-tramo-d-vasoactive-gate.mjs
quality:tramo-d-ventilation-gate,ARCHIVE,node scripts/quality/validate-tramo-d-ventilation-gate.mjs
quality:tramo-e-audit-gate,ARCHIVE,node scripts/quality/validate-tramo-e-audit-gate.mjs
quality:tramo-e-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-e-closure-gate.mjs
quality:tramo-e-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-e-inventory-gate.mjs
quality:tramo-e-or-gate,ARCHIVE,node scripts/quality/validate-tramo-e-or-gate.mjs
quality:tramo-e-preanesthesia-gate,ARCHIVE,node scripts/quality/validate-tramo-e-preanesthesia-gate.mjs
quality:tramo-e-scaffold-gate,ARCHIVE,node scripts/quality/validate-tramo-e-scaffold-gate.mjs
quality:tramo-e-who-checklist-gate,ARCHIVE,node scripts/quality/validate-tramo-e-who-checklist-gate.mjs
quality:tramo-e2e-registry-gate,ARCHIVE,node scripts/quality/validate-tramo-e2e-registry-gate.mjs
quality:tramo-f-aps-gate,ARCHIVE,node scripts/quality/validate-tramo-f-aps-gate.mjs
quality:tramo-f-audit-gate,ARCHIVE,node scripts/quality/validate-tramo-f-audit-gate.mjs
quality:tramo-f-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-f-closure-gate.mjs
quality:tramo-f-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-f-inventory-gate.mjs
quality:tramo-f-scaffold-gate,ARCHIVE,node scripts/quality/validate-tramo-f-scaffold-gate.mjs
quality:tramo-g-audit-gate,ARCHIVE,node scripts/quality/validate-tramo-g-audit-gate.mjs
quality:tramo-g-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-g-closure-gate.mjs
quality:tramo-g-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-g-inventory-gate.mjs
quality:tramo-g-scaffold-gate,ARCHIVE,node scripts/quality/validate-tramo-g-scaffold-gate.mjs
quality:tramo-g-specialized-gate,ARCHIVE,node scripts/quality/validate-tramo-g-specialized-gate.mjs
quality:tramo-h-audit-gate,ARCHIVE,node scripts/quality/validate-tramo-h-audit-gate.mjs
quality:tramo-h-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-h-closure-gate.mjs
quality:tramo-h-iaas-gate,ARCHIVE,node scripts/quality/validate-tramo-h-iaas-gate.mjs
quality:tramo-h-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-h-inventory-gate.mjs
quality:tramo-h-scaffold-gate,ARCHIVE,node scripts/quality/validate-tramo-h-scaffold-gate.mjs
quality:tramo-i-audit-gate,ARCHIVE,node scripts/quality/validate-tramo-i-audit-gate.mjs
quality:tramo-i-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-i-closure-gate.mjs
quality:tramo-i-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-i-inventory-gate.mjs
quality:tramo-i-scaffold-gate,ARCHIVE,node scripts/quality/validate-tramo-i-scaffold-gate.mjs
quality:tramo-i-specialty-gate,ARCHIVE,node scripts/quality/validate-tramo-i-specialty-gate.mjs
quality:tramo-j-audit-gate,ARCHIVE,node scripts/quality/validate-tramo-j-audit-gate.mjs
quality:tramo-j-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-j-closure-gate.mjs
quality:tramo-j-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-j-inventory-gate.mjs
quality:tramo-j-pharmacy-gate,ARCHIVE,node scripts/quality/validate-tramo-j-pharmacy-gate.mjs
quality:tramo-j-scaffold-gate,ARCHIVE,node scripts/quality/validate-tramo-j-scaffold-gate.mjs
quality:tramo-k-audit-gate,ARCHIVE,node scripts/quality/validate-tramo-k-audit-gate.mjs
quality:tramo-k-closure-gate,ARCHIVE,node scripts/quality/validate-tramo-k-closure-gate.mjs
quality:tramo-k-inventory-gate,ARCHIVE,node scripts/quality/validate-tramo-k-inventory-gate.mjs
quality:tramo-k-quality-gate,ARCHIVE,node scripts/quality/validate-tramo-k-quality-gate.mjs
quality:tramo-k-scaffold-gate,ARCHIVE,node scripts/quality/validate-tramo-k-scaffold-gate.mjs
quality:tramo-scaffold-canon-gate,ARCHIVE,node scripts/quality/validate-tramo-scaffold-canon-gate.mjs
quality:tramos-ak-closure-gate,ARCHIVE,node scripts/quality/validate-tramos-ak-closure-gate.mjs
quality:tramos-clinical-signoff-gate,ARCHIVE,node scripts/quality/validate-tramos-clinical-signoff-gate.mjs
quality:tramos-clinical-signoff-session,ARCHIVE,node scripts/quality/run-tramos-clinical-signoff-session.mjs
quality:tramos-hygiene-gate,ARCHIVE,node scripts/quality/validate-tramos-hygiene-gate.mjs
quality:tramos-run-ak-closure-gates,ARCHIVE,node scripts/run-tramos-ak-closure-gates.mjs
quality:tramos-signoff-prep-gate,ARCHIVE,node scripts/quality/validate-tramos-signoff-prep-gate.mjs
quality:tres-frentes-next,MOVE_TO_TOOLS,node scripts/quality/tres-frentes-next.mjs
quality:ui,KEEP_ROOT,npm run quality:ui-simplify-gate
quality:ui-density-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ui-density-gate.mjs
quality:ui-simplify-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ui-simplify-gate.mjs
quality:ux-g02,MOVE_TO_TOOLS,npm run build -w @epis2/contracts && npm run build -w @epis2/clinical-domain && npm run build -w @epis2/design-system && npm run build -w @epis2/command-registry && npm run build -w @epis2/clinical-forms && npm run build -w @epis2/test-fixtures && tsx scripts/qa/run-ux-g02-validation.ts
quality:ux-pilot,MOVE_TO_TOOLS,npm run quality:ux-g02 && npm run test:e2e:ux-g02 && npm run test:e2e:login-gateway
quality:ux-pilot-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ux-pilot-gate.mjs
quality:visual-density-agent-gate,MOVE_TO_TOOLS,node scripts/quality/validate-visual-density-agent-gate.mjs
quality:web-ai-boundary-gate,MOVE_TO_TOOLS,node scripts/quality/validate-web-ai-boundary-gate.mjs
quality:week2-gate,ARCHIVE,node scripts/quality/validate-week2-gate.mjs
quality:week3-gate,ARCHIVE,node scripts/quality/validate-week3-gate.mjs
quality:week4-gate,ARCHIVE,node scripts/quality/validate-week4-gate.mjs
stack:dev,KEEP_ROOT,node scripts/stack-dev.mjs
stack:langfuse,MOVE_TO_TOOLS,docker compose --profile langfuse up -d langfuse-postgres langfuse
stack:observability,MOVE_TO_TOOLS,docker compose --profile observability up -d otel-collector
stack:reset,MOVE_TO_TOOLS,node scripts/stack-reset.mjs
stack:up,KEEP_ROOT,node scripts/stack-up.mjs
storybook:ui,MOVE_TO_TOOLS,storybook dev -p 6006 -c packages/epis2-ui/.storybook
storybook:ui:build,MOVE_TO_TOOLS,storybook build -c packages/epis2-ui/.storybook -o packages/epis2-ui/storybook-static
test,KEEP_ROOT,npm run build -w @epis2/contracts && npm run build -w @epis2/clinical-domain && npm run build -w @epis2/design-system && npm run build -w @epis2/command-registry && npm run build -w @epis2/clinical-forms && npm run build -w @epis2/epis2-widgets && npm run build -w @epis2/epis2-ui && npm run build -w @epis2/clinical-productivity && npm run build -w @epis2/test-fixtures && npm run build -w @epis2/fhir-export && vitest run
test:e2e,KEEP_ROOT,playwright test e2e/golden-command-evolution.spec.ts e2e/golden-draft-approval.spec.ts e2e/golden-v2-admission-discharge.spec.ts e2e/clinical-textbox-evolution-draft.spec.ts e2e/login-gateway.spec.ts e2e/ux-g02-command-first.spec.ts e2e/three-modes-journey.spec.ts e2e/ola6a-print-certificate.spec.ts e2e/ola6a-print-prescription.spec.ts e2e/ola6a-print-discharge-summary.spec.ts e2e/ola6a-print-orders.spec.ts e2e/a11y-smoke.spec.ts e2e/mobile-drawer.spec.ts
test:e2e:a11y,MOVE_TO_WORKSPACE,playwright test e2e/a11y-smoke.spec.ts
test:e2e:clinical-textbox,MOVE_TO_WORKSPACE,playwright test e2e/clinical-textbox-evolution-draft.spec.ts
test:e2e:dual-chart,MOVE_TO_WORKSPACE,playwright test e2e/dual-chart-modes.spec.ts
test:e2e:golden-v2,MOVE_TO_WORKSPACE,playwright test e2e/golden-v2-admission-discharge.spec.ts
test:e2e:install,MOVE_TO_WORKSPACE,playwright install chromium
test:e2e:login-gateway,MOVE_TO_WORKSPACE,playwright test e2e/login-gateway.spec.ts
test:e2e:mobile,MOVE_TO_WORKSPACE,playwright test e2e/mobile-drawer.spec.ts
test:e2e:ola1c,MOVE_TO_WORKSPACE,playwright test e2e/ola1c-results-journey.spec.ts
test:e2e:ola2,MOVE_TO_WORKSPACE,playwright test e2e/ola2-ambulatory-m3-ui.spec.ts
test:e2e:ola3,MOVE_TO_WORKSPACE,playwright test e2e/ola3-ficha-journey.spec.ts
test:e2e:print,MOVE_TO_WORKSPACE,playwright test e2e/ola6a-print-certificate.spec.ts e2e/ola6a-print-prescription.spec.ts e2e/ola6a-print-discharge-summary.spec.ts e2e/ola6a-print-orders.spec.ts
test:e2e:three-modes,MOVE_TO_WORKSPACE,playwright test e2e/three-modes-journey.spec.ts
test:e2e:tramo-b,MOVE_TO_WORKSPACE,playwright test e2e/tramo-b-reception.spec.ts
test:e2e:tramo-c,MOVE_TO_WORKSPACE,playwright test e2e/tramo-c-emergency.spec.ts
test:e2e:tramo-c-admission,MOVE_TO_WORKSPACE,playwright test e2e/tramo-c-admission.spec.ts
test:e2e:tramo-c-mar,MOVE_TO_WORKSPACE,playwright test e2e/tramo-c-mar.spec.ts
test:e2e:tramo-c-trends,MOVE_TO_WORKSPACE,playwright test e2e/tramo-c-trends.spec.ts
test:e2e:tramo-d,MOVE_TO_WORKSPACE,playwright test e2e/tramo-d-icu.spec.ts
test:e2e:tramo-e,MOVE_TO_WORKSPACE,playwright test e2e/tramo-e-or.spec.ts
test:e2e:tramo-f,MOVE_TO_WORKSPACE,playwright test e2e/tramo-f-aps.spec.ts
test:e2e:tramo-g,MOVE_TO_WORKSPACE,playwright test e2e/tramo-g-icu.spec.ts
test:e2e:tramo-h,MOVE_TO_WORKSPACE,playwright test e2e/tramo-h-iaas.spec.ts
test:e2e:tramo-i,MOVE_TO_WORKSPACE,playwright test e2e/tramo-i-specialty.spec.ts
test:e2e:tramo-j,MOVE_TO_WORKSPACE,playwright test e2e/tramo-j-pharmacy.spec.ts
test:e2e:tramo-k,MOVE_TO_WORKSPACE,playwright test e2e/tramo-k-quality.spec.ts
test:e2e:ux-g02,MOVE_TO_WORKSPACE,playwright test e2e/ux-g02-command-first.spec.ts
test:e2e:week3,MOVE_TO_WORKSPACE,playwright test e2e/week3-ai-tramo-j.spec.ts
test:unit:chart,MOVE_TO_WORKSPACE,vitest run apps/web/src/components/chart
theme:generate,MOVE_TO_TOOLS,node scripts/theme/generate-epis2-theme.mjs
theme:import,MOVE_TO_TOOLS,node scripts/theme/import-material-theme.mjs
theme:report,MOVE_TO_TOOLS,node scripts/theme/generate-theme-report.mjs
theme:snapshot,MOVE_TO_TOOLS,node scripts/theme/compare-theme-snapshots.mjs
theme:validate,MOVE_TO_TOOLS,node scripts/theme/validate-theme-all.mjs
tool:gates:sync-catalog,KEEP_ROOT,node tools/gates/sync-catalog.mjs
tool:gates:verify,KEEP_ROOT,node tools/gates/verify-infra.mjs
tool:scripts:classify,KEEP_ROOT,node tools/scripts/classify.mjs
typecheck,KEEP_ROOT,npm run build -w @epis2/contracts && npm run build -w @epis2/clinical-domain && npm run build -w @epis2/design-system && npm run build -w @epis2/command-registry && npm run build -w @epis2/clinical-forms && npm run build -w @epis2/epis2-widgets && npm run build -w @epis2/epis2-ui && npm run build -w @epis2/clinical-productivity && npm run build -w @epis2/test-fixtures && npm run build -w @epis2/fhir-export && npm run build -w @epis2/ai-client && npm run build -w @epis2/local-ai && npm run typecheck -w @epis2/contracts && npm run typecheck -w @epis2/clinical-domain && npm run typecheck -w @epis2/design-system && npm run typecheck -w @epis2/command-registry && npm run typecheck -w @epis2/clinical-forms && npm run typecheck -w @epis2/epis2-widgets && npm run typecheck -w @epis2/epis2-ui && npm run typecheck -w @epis2/clinical-productivity && npm run typecheck -w @epis2/test-fixtures && npm run typecheck -w @epis2/fhir-export && npm run typecheck -w @epis2/ai-client && npm run typecheck -w @epis2/local-ai && npm run typecheck -w @epis2/drug-intel && npm run typecheck -w @epis2/clinical-case-intel && npm run typecheck -w @epis2/api && npm run typecheck -w @epis2/web
